id,chinese,pinyin,english,base_herb,processing,botanical_source,net_content_g,extract_ratio,raw_per_g,raw_per_bag,categories,tcm_functions,contraindications,data_source
97,大蓟,Dà Jì,Japanese Thistle,大蓟,,,1.25,4:1,4,5,bleeding|heat|toxin|skin,"Cool Blood, stop bleeding, dispel stasis and resolve toxin",Spleen and Stomach Cold deficiency; bleeding from Cold,derived
98,大蓟炭,Dà Jì Tàn,Charred Japanese Thistle,大蓟炭,,,1.11,4.5:1,4.5,5,bleeding|astringent,Charring strengthens the astringent bleeding-stopping action,Bleeding due to stasis,derived
99,大青叶,Dà Qīng Yè,Isatis Leaf,大青叶,,,3.6,2.5:1,2.5,9,heat|toxin|antiviral|rash|throat,"Clear Heat, resolve toxin, cool Blood and disperse rashes",Spleen and Stomach Cold deficiency; not for prolonged use,derived
100,大血藤,Dà Xuè Téng,Sargentodoxa Vine,大血藤,,,1.67,6:1,6,10,toxin|blood_move|abscess|pain|gut,"Resolve toxin, dissipate abscess, invigorate Blood and free the collaterals",Pregnancy; no stasis or toxin present,derived
101,大枣,Dà Zǎo,Chinese Date / Jujube,大枣,,,4.17,1.2:1,1.2,5,qi_tonic|blood_tonic|spleen|sleep|shen,"Tonify Spleen and Stomach, nourish Blood, calm Shen","Phlegm-Damp, food stagnation",curated
102,代代花,Dài Dài Huā,Bitter Orange Flower,代代花,,,1.07,2.8:1,2.8,3,qi_move|stomach|digestion|phlegm,"Move Qi, harmonise the Stomach, dissolve phlegm and relieve distension",Qi deficiency; pregnancy — use with care,derived
103,淡豆豉,Dàn Dòu Chǐ,Fermented Soybean,淡豆豉,,,2,3:1,3,6,exterior|irritability|fever|insomnia,"Release the exterior, vent pathogens and relieve irritability",Generally well tolerated; caution in profuse sweating,derived
104,淡附片,Dàn Fù Piàn,Mild Prepared Aconite,淡附片,,,0.6,8.3:1,8.3,5,yang_tonic|cold|kidney|pain|collapse,"Restore devastated Yang, supplement Fire, disperse Cold and relieve pain — a milder prepared form",TOXIC — prolonged decoction required; pregnancy; Yin deficiency with Heat; never with 半夏/瓜蒌/贝母/白蔹/白及,derived
105,丹参,Dān Shēn,Salvia Root,丹参,,,2.5,2:1,2,5,blood_stasis|heart|sleep|liver|aging|menstrual,"Invigorate Blood, dispel stasis, calm Shen, cool Blood",Anticoagulants; pregnancy,curated
106,酒丹参,Jiǔ Dān Shēn,Wine-processed Salvia Root,丹参,酒,,2.5,2:1,2,5,blood_stasis|heart|sleep|liver|aging|menstrual|blood_move,"Invigorate Blood, dispel stasis, calm Shen, cool Blood. Wine-processing warms and mobilises, carrying the action upward and enhancing Blood-moving and channel-freeing effects.",Anticoagulants; pregnancy,curated+processed
107,淡竹叶,Dàn Zhú Yè,Lophatherum,淡竹叶,,,1,6:1,6,6,heat|urinary|irritability|thirst|summerheat,"Clear Heat, relieve irritability, promote urination and drain Heart Fire",Pregnancy; Cold deficiency; no Heat present,derived
108,当归,Dāng Guī,Dong Quai / Angelica Root,当归,,,4,1.5:1,1.5,6,blood_tonic|women|menstrual|pain|blood_stasis,"Tonify and invigorate Blood, regulate menstruation, stop pain","Diarrhea, pregnancy (large doses), anticoagulants",curated
109,酒当归,Jiǔ Dāng Guī,Wine-processed Dong Quai / Angelica Root,当归,酒,,4,1.5:1,1.5,6,blood_tonic|women|menstrual|pain|blood_stasis|blood_move,"Tonify and invigorate Blood, regulate menstruation, stop pain. Wine-processing warms and mobilises, carrying the action upward and enhancing Blood-moving and channel-freeing effects.","Diarrhea, pregnancy (large doses), anticoagulants",curated+processed
110,当归尾,Dāng Guī Wěi,Angelica Root Tail,当归尾,,,4,1.5:1,1.5,6,blood_move|menstrual|pain|trauma|women,The tail portion emphasises Blood-invigorating and stasis-dispelling action over Blood tonification,Pregnancy; loose stool; heavy menstrual bleeding,derived
111,党参(党参),Dǎng Shēn,Codonopsis Root,党参,,党参,3,1:1,1,3,qi_tonic|spleen|fatigue|gut|immune|aging,"Tonify Middle Jiao Qi, strengthen Spleen and Lung","Excess patterns, early-stage infection",curated
112,炒稻芽,Chǎo Dào Yá,Dry-fried Sprouted Rice,稻芽,炒,,0.75,6.7:1,6.7,5,digestion|spleen|appetite,"Aid digestion, harmonise the Middle and strengthen the Spleen. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Generally well tolerated,derived
113,灯心草,Dēng Xīn Cǎo,Juncus Pith,灯心草,,,0.5,10:1,10,5,urinary|heat|irritability|insomnia|paediatric,"Promote urination, drain Heart Fire and relieve irritability",Deficiency Cold; incontinence,derived
114,地耳草,Dì Ěr Cǎo,Hypericum Japonicum,地耳草,,,2.31,6.5:1,6.5,15,heat|damp|liver|jaundice|toxin,"Clear Heat, drain Damp, resolve toxin and invigorate Blood",Spleen Cold deficiency,derived
115,地肤子,Dì Fū Zǐ,Kochia Fruit,地肤子,,,1.2,7.5:1,7.5,9,skin|itch|damp|urinary|heat,"Clear Heat, drain Damp, dispel Wind and relieve itching",Deficiency without Damp-Heat; frequent urination from Qi deficiency,derived
116,地骨皮(枸杞),Dì Gǔ Pí,Lycium Bark (Root Bark),地骨皮,,枸杞,0.71,7:1,7,5,women|menopause|heat|yin_tonic|fever,"Cool Blood, reduce Empty Heat, clear Lung Heat","Spleen deficiency-cold, exterior patterns",curated
117,生地黄,Shēng Dì Huáng,Raw Rehmannia,生地黄,,,3.57,1.4:1,1.4,5,yin_tonic|heat|blood_cooling|kidney|heart,"Clear Heat, cool Blood, nourish Yin, generate fluids","Spleen deficiency with Damp, diarrhea",curated
118,生地炭,Shēng Dì Tàn,Charred Rehmannia,生地炭,,,3.33,1.5:1,1.5,5,bleeding|heat|astringent,Charring shifts raw Rehmannia toward cooling Blood and stopping bleeding,Spleen deficiency with loose stool; Cold bleeding,derived
119,熟地黄,Shú Dì Huáng,Prepared Rehmannia,熟地黄,,,3.85,1.3:1,1.3,5,blood_tonic|kidney|yin_tonic|aging|women,"Tonify Kidney Yin and Jing, nourish Blood, fill Marrow",Spleen deficiency with Damp,curated
120,地龙(参环毛蚓),Dì Lóng,Earthworm,地龙,,参环毛蚓,1.25,4:1,4,5,heat|spasm|collateral|asthma|stroke,"Clear Heat, settle spasm, free the collaterals, calm wheezing and promote urination",Cold deficiency patterns; pregnancy,derived
121,地榆(地榆),Dì Yú,Sanguisorba Root,地榆,,地榆,1.43,3.5:1,3.5,5,bleeding|heat|haemorrhoid|burn|skin,"Cool Blood, stop bleeding, resolve toxin and heal sores",Cold deficiency bleeding; extensive burns — large topical area risks toxicity,derived
122,地榆炭(地榆),Dì Yú Tàn,Charred Sanguisorba,地榆炭,,地榆,1,5:1,5,5,bleeding|astringent|haemorrhoid,Charring strengthens the astringent bleeding-stopping action,Bleeding due to stasis,derived
123,丁香,Dīng Xiāng,Clove,丁香,,,1.43,2.1:1,2.1,3,stomach|kidney|cold|digestion|yang_tonic,"Warm Middle, descend rebellious Qi, stop hiccup and vomiting, warm Kidney Yang",Heat patterns; Yin deficiency with heat; incompatible with 郁金,derived
124,冬瓜皮,Dōng Guā Pí,Wax Gourd Peel,冬瓜皮,,,2.5,4:1,4,10,oedema|damp|urinary|summerheat|weight,"Promote urination, reduce swelling and clear summerheat",Cold deficiency; frequent clear urination,derived
125,冬瓜子,Dōng Guā Zǐ,Wax Gourd Seed,冬瓜子,,,0.83,6:1,6,5,heat|phlegm|damp|lung|abscess,"Clear Heat, transform phlegm, expel pus and drain Damp",Cold deficiency with loose stool,derived
126,冬葵果,Dōng Kuí Guǒ,Malva Fruit,冬葵果,,,0.91,5.5:1,5.5,5,urinary|lactation|constipation|damp,"Free urination, promote lactation and moisten the intestines",Pregnancy; Spleen deficiency with loose stool,derived
127,豆蔻(爪哇白豆蔻),Dòu Kòu,Cardamom,豆蔻,,爪哇白豆蔻,0.75,4:1,4,3,damp|qi_move|stomach|nausea|digestion,"Transform Damp, move Qi, warm the Middle and stop vomiting",Yin deficiency with Heat; add late in decoction,derived
128,独活,Dú Huó,Angelica Pubescens Root,独活,,,2.94,1.7:1,1.7,5,wind_damp|pain|back_pain|joint|leg,"Dispel Wind-Damp, relieve pain — especially of the lower body and lumbus",Yin deficiency with Heat; Blood deficiency without Wind-Damp,derived
129,杜仲,Dù Zhòng,Eucommia Bark,杜仲,,,1,6:1,6,6,yang_tonic|kidney|bone|blood_pressure|aging|back,"Tonify Kidney and Liver Yang, strengthen bones and sinews, calm fetus",Yin deficiency with Heat,curated
130,盐杜仲,Yán Dù Zhòng,Salt-processed Eucommia Bark,杜仲,盐,,1.2,5:1,5,6,yang_tonic|kidney|bone|blood_pressure|aging|back,"Tonify Kidney and Liver Yang, strengthen bones and sinews, calm fetus. Salt directs the action downward to the Kidney, strengthening the Kidney-tonifying and Yin-enriching effect.",Yin deficiency with Heat,curated+processed
131,地锦草(斑地锦),Dì Jǐn Cǎo,Euphorbia Humifusa,地锦草,,斑地锦,3.33,3:1,3,10,heat|toxin|bleeding|diarrhoea|damp,"Clear Heat, resolve toxin, cool Blood, stop bleeding and drain Damp",Spleen and Stomach Cold deficiency,derived
132,冬凌草,Dōng Líng Cǎo,Rabdosia,冬凌草,,,2,5:1,5,10,heat|toxin|throat|nodule,"Clear Heat, resolve toxin, invigorate Blood and relieve throat pain",Spleen and Stomach Cold deficiency,derived
133,鹅不食草,É Bù Shí Cǎo,Centipeda,鹅不食草,,,1.62,3.7:1,3.7,6,sinus|nasal|wind_cold|cough|allergy,"Disperse Wind-Cold, open the nasal passages, stop cough and resolve toxin",Weak Stomach; may cause nausea; mainly for nasal use,derived
134,阿胶,Ē Jiāo,Donkey-hide Gelatin,阿胶,,,2.22,0.9:1,0.9,2,blood_tonic|bleeding|yin_tonic|women|lung,"Nourish Blood, stop bleeding, nourish Yin and moisten dryness",Spleen and Stomach deficiency with poor appetite; loose stool; Damp accumulation; dissolve separately,derived
135,莪术(广西莪术),É Zhú,Curcuma Rhizome,莪术,,广西莪术,0.63,8:1,8,5,blood_move|abdominal_mass|pain|digestion|nodule,"Break Blood stasis, move Qi, disperse accumulation and relieve pain",Pregnancy; heavy menstruation; Qi and Blood deficiency; peptic ulcer,derived
136,醋莪术(广西莪术),Cù É Zhú,Vinegar-processed Curcuma Rhizome,莪术,醋,广西莪术,0.63,8:1,8,5,blood_move|abdominal_mass|pain|digestion|nodule|liver,"Break Blood stasis, move Qi, disperse accumulation and relieve pain. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Pregnancy; heavy menstruation; Qi and Blood deficiency; peptic ulcer,derived
137,郁金(广西莪术),Yù Jīn,Turmeric Root,郁金,,广西莪术,0.91,5.5:1,5.5,5,stress|liver_qi|depression|blood_stasis|gallbladder,"Move Qi and Blood, clear Heart, benefit Gallbladder",Pregnancy; no blood-thinners,curated
138,醋郁金(广西莪术),Cù Yù Jīn,Vinegar-processed Turmeric Root,郁金,醋,广西莪术,1,5:1,5,5,stress|liver_qi|depression|blood_stasis|gallbladder|liver|pain|blood_move,"Move Qi and Blood, clear Heart, benefit Gallbladder. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Pregnancy; no blood-thinners,curated+processed
139,番泻叶(狭叶番泻),Fān Xiè Yè,Senna Leaf,番泻叶,,狭叶番泻,0.8,2.5:1,2.5,2,constipation|heat|damp,"Drain downward, free the stool and drive out water",Pregnancy; breastfeeding; menstruation; weak constitution; dependence with prolonged use,derived
140,番石榴叶,Fān Shí Liú Yè,Guava Leaf,番石榴叶,,,2,5:1,5,10,diarrhoea|astringent|damp|blood_sugar,"Astringe the intestines, stop diarrhoea and dry Damp",Constipation; early-stage dysentery with excess,derived
141,防风,Fáng Fēng,Siler Root,防风,,,2.5,2:1,2,5,immune|wind|joint|head|spleen,"Expel Wind, stop pain, overcome Damp, relieve diarrhea",Yin deficiency or Blood deficiency with Wind,curated
142,防己,Fáng Jǐ,Stephania Root,防己,,,1.11,4.5:1,4.5,5,wind_damp|oedema|joint|pain|urinary,"Dispel Wind-Damp, relieve pain, promote urination and reduce swelling",Yin deficiency; weak Spleen and Stomach; ensure 粉防己 not the nephrotoxic 广防己,derived
143,粉葛,Fěn Gé,Pueraria Thomsonii Root,粉葛,,,3.13,3.2:1,3.2,10,exterior|neck|thirst|diarrhoea|blood_sugar,"Release the muscle layer, vent rashes, generate fluids and raise Yang to stop diarrhoea",Yin deficiency with upward-rising Yang; profuse sweating from deficiency,derived
144,凤尾草,Fèng Wěi Cǎo,Brake Fern,凤尾草,,,1,6:1,6,6,heat|damp|diarrhoea|bleeding|urinary,"Clear Heat, drain Damp, cool Blood and stop dysentery",Cold deficiency of Spleen and Stomach,derived
145,佛手,Fó Shǒu,Finger Citron,佛手,,,3.13,1.6:1,1.6,5,qi_move|liver|stomach|phlegm|stress,"Soothe the Liver, move Qi, harmonise the Stomach and transform phlegm",Yin deficiency with Heat; aromatic and dispersing,derived
146,茯苓,Fú Líng,Poria,茯苓,,,0.8,12.5:1,12.5,10,spleen|gut|damp|sleep|anxiety|qi_tonic,"Strengthen Spleen, drain Damp, calm Shen",None significant,curated
147,茯苓皮,Fú Líng Pí,Poria Peel,茯苓皮,,,0.5,10:1,10,5,oedema|urinary|damp|skin,Promote urination and reduce swelling — the peel acts chiefly on surface oedema,Frequent clear urination; Yin deficiency,derived
148,茯神,Fú Shén,Poria with Hostwood,茯神,,,0.5,20:1,20,10,sleep|heart|shen|spleen|anxiety,"Calm Shen, strengthen Spleen, drain Damp",None significant,curated
149,覆盆子,Fù Pén Zǐ,Chinese Raspberry,覆盆子,,,1.09,5.5:1,5.5,6,kidney|jing|men|eyes|yang_tonic,"Tonify Kidney Yang, astringe Jing, brighten eyes","Damp-Heat, difficult urination",curated
150,浮萍,Fú Píng,Duckweed,浮萍,,,0.91,5.5:1,5.5,5,wind_heat|rash|skin|oedema|itch,"Disperse Wind, vent rashes, promote urination and reduce swelling",Spontaneous sweating from exterior deficiency; no exterior pattern,derived
151,浮小麦,Fú Xiǎo Mài,Blighted Wheat,浮小麦,,,0.5,10:1,10,5,women|menopause|sweating|heart|shen,"Astringe sweating, nourish Heart, calm Shen",None significant,curated
152,小通草(中国旌节花),Xiǎo Tōng Cǎo,Stachyurus Pith,小通草,,中国旌节花,0.5,10:1,10,5,urinary|lactation|heat|damp,"Clear Heat, promote urination and free lactation",Pregnancy; frequent clear urination,derived
153,黑老虎根,Hēi Lǎo Hǔ Gēn,Kadsura Root,黑老虎根,,,0.9,10:1,10,9,qi_move|blood_move|pain|wind_damp|stomach,"Move Qi, invigorate Blood, dispel Wind and relieve pain",Pregnancy; Blood deficiency,derived
154,附片(黑顺片),Fù Piàn,Prepared Aconite Slice,附片,,黑顺片,0.6,10:1,10,6,yang_tonic|cold|kidney|pain|collapse,"Restore devastated Yang, supplement Fire, disperse Cold and relieve pain",TOXIC — prolonged decoction required; pregnancy; Yin deficiency with Heat; never with 半夏/瓜蒌/贝母/白蔹/白及,derived
155,黑芝麻,Hēi Zhī Ma,Black Sesame Seed,黑芝麻,,,0.8,12.5:1,12.5,10,kidney|liver|essence|constipation|hair|aging,"Supplement Liver and Kidney, benefit Essence and Blood, moisten the intestines and blacken the hair",Spleen deficiency with loose stool,derived
156,甘草(甘草),Gān Cǎo,Licorice Root,甘草,,甘草,1,3:1,3,3,qi_tonic|spleen|lung|harmonise|spasm|cough,"Supplement Spleen Qi, moisten the Lung, relieve spasm and pain, resolve toxin and harmonise other herbs",Oedema; hypertension; hypokalaemia; prolonged high dose causes water retention; incompatible with 大戟/芫花/甘遂/海藻,derived
157,炙甘草(甘草),Zhì Gān Cǎo,Honey-fried Licorice Root,甘草,炙,甘草,1.5,2:1,2,3,qi_tonic|spleen|lung|harmonise|spasm|cough,"Supplement Spleen Qi, moisten the Lung, relieve spasm and pain, resolve toxin and harmonise other herbs. Honey-frying warms and moistens, enhancing the Qi-tonifying and Middle-harmonising action while reducing dispersing effects.",Oedema; hypertension; hypokalaemia; prolonged high dose causes water retention; incompatible with 大戟/芫花/甘遂/海藻,derived
158,炙甘草(胀果甘草),Zhì Gān Cǎo,Honey-fried Licorice Root,甘草,炙,胀果甘草,1.2,2.5:1,2.5,3,qi_tonic|spleen|lung|harmonise|spasm|cough,"Supplement Spleen Qi, moisten the Lung, relieve spasm and pain, resolve toxin and harmonise other herbs. Honey-frying warms and moistens, enhancing the Qi-tonifying and Middle-harmonising action while reducing dispersing effects.",Oedema; hypertension; hypokalaemia; prolonged high dose causes water retention; incompatible with 大戟/芫花/甘遂/海藻,derived
159,甘松,Gān Sōng,Nardostachys Root,甘松,,,0.75,6.7:1,6.7,5,qi_move|pain|spleen|shen|stomach,"Move Qi, relieve pain, awaken the Spleen and quiet the Shen",Qi deficiency; Yin deficiency with Heat,derived
160,干姜,Gān Jiāng,Dried Ginger Rhizome,干姜,,,0.83,6:1,6,5,cold|spleen|yang_tonic|digestion|lung,"Warm the Middle, disperse Cold, restore Yang and warm the Lung to transform thin mucus",Yin deficiency with Heat; Blood Heat bleeding; pregnancy caution,derived
161,岗梅,Gǎng Méi,Ilex Asprella Root,岗梅,,,0.6,25:1,25,15,heat|toxin|throat|thirst,"Clear Heat, resolve toxin, generate fluids and benefit the throat",Spleen Cold deficiency,derived
162,岗稔,Gǎng Rěn,Rhodomyrtus Fruit,岗稔,,,0.75,20:1,20,15,blood_tonic|bleeding|astringent|women,"Nourish Blood, stop bleeding, astringe and secure",Constipation; excess Heat,derived
163,杠板归,Gàng Bǎn Guī,Polygonum Perfoliatum,杠板归,,,1.67,6:1,6,10,heat|damp|toxin|oedema|cough,"Clear Heat, drain Damp, resolve toxin, reduce swelling and stop cough",Spleen Cold deficiency,derived
164,姜炭,Jiāng Tàn,Charred Ginger,姜炭,,,0.6,5:1,5,3,bleeding|cold|diarrhoea|spleen,"Warm the channels and stop bleeding, warm the Middle and check diarrhoea",Heat patterns; bleeding from Blood Heat,derived
165,炮姜,Páo Jiāng,Blast-fried Ginger,炮姜,,,0.6,8.3:1,8.3,5,bleeding|cold|spleen|diarrhoea|women,"Warm the channels, stop bleeding, warm the Middle and relieve pain",Pregnancy; Yin deficiency with Heat; Blood Heat bleeding,derived
166,藁本(辽藁本),Gǎo Běn,Ligusticum Root,藁本,,辽藁本,1.43,3.5:1,3.5,5,headache|wind_cold|wind_damp|pain,"Disperse Wind-Cold, dispel Damp and relieve pain — especially vertex headache",Blood deficiency headache; Yin deficiency with Heat,derived
167,高良姜,Gāo Liáng Jiāng,Galangal Rhizome,高良姜,,,0.55,5.5:1,5.5,3,cold|stomach|pain|nausea|digestion,"Disperse Cold, warm the Middle and relieve pain and vomiting",Yin deficiency with Heat; Stomach Heat vomiting,derived
168,葛根,Gé Gēn,Pueraria Root,葛根,,,4,2.5:1,2.5,10,exterior|neck|thirst|diarrhoea|blood_sugar,"Release the muscle layer, vent rashes, generate fluids, raise Yang and free the neck and shoulders",Yin deficiency with Yang rising; profuse sweating from deficiency,derived
169,葛花(甘葛藤),Gé Huā,Pueraria Flower,葛花,,甘葛藤,1.52,3.3:1,3.3,5,hangover|detox|spleen|stomach,"Release alcohol toxin, awaken the Spleen and harmonise the Stomach",Generally well tolerated,derived
170,枸杞子,Gǒu Qǐ Zǐ,Wolfberry / Goji Berry,枸杞子,,,4.17,1.2:1,1.2,5,kidney|liver|yin_tonic|aging|eyes|blood_tonic,"Nourish Liver and Kidney, benefit eyes, tonify Jing and Blood","Spleen deficiency with Damp, diarrhea",curated
171,钩藤(钩藤),Gōu Téng,Gambir Vine Stem,钩藤,,钩藤,0.63,8:1,8,5,liver|wind|head|blood_pressure|aging,"Clear Liver Heat, calm Wind, lower blood pressure",No prolonged boiling — add at end of decoction,curated
172,谷精草,Gǔ Jīng Cǎo,Eriocaulon Flower,谷精草,,,0.5,10:1,10,5,eye|wind_heat|liver|headache,"Disperse Wind-Heat, brighten the eyes and remove screens",Blood deficiency eye disorders,derived
173,谷芽,Gǔ Yá,Sprouted Millet,谷芽,,,0.83,6:1,6,5,digestion|spleen|appetite,"Aid digestion, harmonise the Middle and strengthen the Spleen",Generally well tolerated,derived
174,焦谷芽,Jiāo Gǔ Yá,Scorch-fried Sprouted Millet,谷芽,焦,,0.85,5.9:1,5.9,5,digestion|spleen|appetite|diarrhoea,"Aid digestion, harmonise the Middle and strengthen the Spleen. Scorch-frying markedly strengthens the food-dispersing and diarrhoea-checking action, and adds a mild astringent, bleeding-stopping quality.",Generally well tolerated,derived
175,骨碎补,Gǔ Suì Bǔ,Drynaria Rhizome,骨碎补,,,0.77,6.5:1,6.5,5,kidney|bone|fracture|trauma|aging,"Supplement the Kidney, strengthen bone, mend fracture and invigorate Blood",Yin deficiency with Heat; Blood deficiency with dryness,derived
176,烫骨碎补,Tàng Gǔ Suì Bǔ,Scalded Drynaria Rhizome,烫骨碎补,,,0.77,6.5:1,6.5,5,kidney|bone|fracture|trauma|aging,"Supplement the Kidney, strengthen bone, mend fracture and invigorate Blood",Yin deficiency with Heat; Blood deficiency with dryness,derived
177,烫狗脊,Tàng Gǒu Jǐ,Scalded Cibotium Rhizome,烫狗脊,,,1.71,3.5:1,3.5,6,kidney|liver|back_pain|wind_damp|aging,"Supplement Liver and Kidney, strengthen the lumbus and knees, dispel Wind-Damp",Yin deficiency with Heat; scanty dark urine,derived
178,狗脊,Gǒu Jǐ,Cibotium Rhizome,狗脊,,,1.2,5:1,5,6,kidney|liver|back_pain|wind_damp|aging,"Supplement Liver and Kidney, strengthen the lumbus and knees, dispel Wind-Damp",Yin deficiency with Heat; scanty dark urine,derived
179,枸骨叶,Gǒu Gǔ Yè,Chinese Holly Leaf,枸骨叶,,,0.86,5.8:1,5.8,5,yin_tonic|liver|kidney|wind_damp|aging,"Nourish Liver and Kidney Yin, dispel Wind-Damp and clear deficiency Heat",Spleen deficiency with loose stool,derived
180,瓜蒌皮(栝楼),Guā Lóu Pí,Trichosanthes Peel,瓜蒌皮,,栝楼,2.78,1.8:1,1.8,5,chest|phlegm|lung|heat,"Clear Heat, transform phlegm and loosen the chest — the peel emphasises the chest",Spleen Cold with loose stool; incompatible with 川乌/草乌,derived
181,瓜蒌子(栝楼),Guā Lóu Zǐ,Trichosanthes Seed,瓜蒌子,,栝楼,0.7,7.1:1,7.1,5,constipation|lung|phlegm|dryness,"Moisten the Lung, transform phlegm and moisten the intestines — the seed emphasises moistening",Loose stool; incompatible with 川乌/草乌,derived
182,瓜蒌(栝楼),Guā Lóu,Trichosanthes Fruit,瓜蒌,,栝楼,3.13,1.6:1,1.6,5,phlegm|chest|lung|constipation|heat,"Clear Heat, transform phlegm, loosen the chest, dissipate nodules and moisten the intestines",Spleen deficiency with loose stool; incompatible with 川乌/草乌,derived
183,天花粉(栝楼),Tiān Huā Fěn,Trichosanthes Root,天花粉,,栝楼,2.22,4.5:1,4.5,10,heat|thirst|dryness|lung|abscess,"Clear Heat, generate fluids, moisten dryness, resolve toxin and expel pus",Pregnancy — abortifacient; Spleen Cold with loose stool; incompatible with 川乌/草乌,derived
184,醋龟甲,Cù Guī Jiǎ,Vinegar-processed Tortoise Plastron,龟甲,醋,,1.67,6:1,6,10,yin_tonic|kidney|bone|shen|aging|liver|pain|blood_move,"Nourish Yin, subdue Yang, benefit the Kidney, strengthen bone and nourish Blood. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Pregnancy; Spleen and Stomach Cold deficiency; decoct first,derived
185,桂枝,Guì Zhī,Cinnamon Twig,桂枝,,,0.67,7.5:1,7.5,5,yang_tonic|heart|cold|blood_stasis|menstrual,"Warm Yang, unblock vessels, harmonize Ying and Wei","Yin deficiency heat, pregnancy (large doses), bleeding disorders",curated
186,龟甲胶,Guī Jiǎ Jiāo,Tortoise Plastron Glue,龟甲胶,,,3.33,0.9:1,0.9,3,yin_tonic|blood_tonic|kidney|bleeding|aging,"Nourish Yin, supplement Blood, stop bleeding — the concentrated glue form",Pregnancy; Spleen deficiency with poor appetite; dissolve separately,derived
187,广藿香,Guǎng Huò Xiāng,Patchouli,广藿香,,,0.71,7:1,7,5,damp|summerheat|stomach|nausea|spleen,"Transform Damp, release summerheat, harmonise the Middle and stop vomiting",Yin deficiency with Heat; Qi deficiency without Damp,derived
188,广金钱草,Guǎng Jīn Qián Cǎo,Desmodium,广金钱草,,,2.14,7:1,7,15,stone|urinary|damp|liver|jaundice,"Drain Damp, dissolve stones, clear Heat and relieve jaundice",Spleen deficiency with loose stool,derived
189,金钱草,Jīn Qián Cǎo,Lysimachia,金钱草,,,3.75,4:1,4,15,stone|urinary|liver|jaundice|damp,"Drain Damp, free painful urination, dissolve stones, resolve toxin and reduce swelling",Spleen deficiency with loose stool,derived
190,广东土牛膝,Guǎng Dōng Tǔ Niú Xī,Eupatorium Root,广东土牛膝,,,2,1.5:1,1.5,3,throat|heat|toxin|blood_move,"Clear Heat, resolve toxin, benefit the throat and invigorate Blood",Pregnancy; Spleen Cold deficiency,derived
191,广东王不留行,Guǎng Dōng Wáng Bù Liú Xíng,Ficus Pumila Receptacle,广东王不留行,,,1.5,4:1,4,6,lactation|blood_move|collateral|damp,"Invigorate Blood, free the collaterals, promote lactation and drain Damp",Pregnancy,derived
192,王不留行,Wáng Bù Liú Xíng,Vaccaria Seed,王不留行,,,0.5,10:1,10,5,blood_move|lactation|menstrual|urinary|women,"Invigorate Blood, free menstruation, promote lactation and free urination",Pregnancy; Blood deficiency without stasis,derived
193,炒王不留行,Chǎo Wáng Bù Liú Xíng,Dry-fried Vaccaria Seed,王不留行,炒,,0.63,8:1,8,5,blood_move|lactation|menstrual|urinary|women|spleen,"Invigorate Blood, free menstruation, promote lactation and free urination. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Pregnancy; Blood deficiency without stasis,derived
194,海金沙,Hǎi Jīn Shā,Lygodium Spore,海金沙,,,1.2,5:1,5,6,stone|urinary|damp|heat|oedema,"Clear Heat, drain Damp, free urination and dissolve stones",Kidney deficiency without Damp-Heat; must be bagged when decocted,derived
195,海螵蛸(金乌贼),Hǎi Piāo Xiāo,Cuttlefish Bone,海螵蛸,,金乌贼,0.5,10:1,10,5,bleeding|astringent|gastric_acid|women|essence,"Astringe, stop bleeding, secure Essence, restrain acid and dry Damp",Yin deficiency with Heat; constipation; prolonged use causes constipation,derived
196,合欢花(合欢花),Hé Huān Huā,Mimosa Flower,合欢花,,合欢花,1.25,4:1,4,5,stress|sleep|anxiety|depression|mood,"Calm Shen, soothe Liver, relieve depression",Pregnancy,curated
197,厚朴花(厚朴),Hòu Pò Huā,Magnolia Flower,厚朴花,,厚朴,1.11,4.5:1,4.5,5,qi_move|damp|chest|stomach,"Move Qi, transform Damp and open the chest — gentler than the bark",Yin deficiency with dryness,derived
198,厚朴(厚朴),Hòu Pò,Magnolia Bark,厚朴,,厚朴,0.63,8:1,8,5,qi_move|damp|digestion|bloating|phlegm,"Move Qi, dry Damp, disperse fullness and descend rebellious Qi",Pregnancy; Qi deficiency; Yin deficiency with dryness,derived
199,姜厚朴(厚朴),Jiāng Hòu Pò,Ginger-processed Magnolia Bark,厚朴,姜,厚朴,0.63,8:1,8,5,qi_move|damp|digestion|bloating|phlegm|stomach,"Move Qi, dry Damp, disperse fullness and descend rebellious Qi. Ginger-processing warms the Middle, curbs toxicity and reduces the tendency to cause nausea, strengthening the phlegm-transforming and vomiting-stopping action.",Pregnancy; Qi deficiency; Yin deficiency with dryness,derived
200,合欢皮,Hé Huān Pí,Mimosa Bark,合欢皮,,,0.6,10:1,10,6,sleep|depression|stress|anxiety|liver_qi,"Calm Shen, relieve constraint, invigorate Blood",Pregnancy,curated
